cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i&o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,ssv2_execution_time,kinetics_execution_time
F02,13,Seq3,Seq3_13DPH_F02,850,4251,255040,5.000784314,4148,15488,1982,0,240,0,18.7,100,8.080340909,,,,,0,0,2,0,0,123,2,0,0,0,13506,125,0,5.001568627,255080,TRUE,3.714285714,2.283481052,8,255080,Dec-20,400,0,0,0,0,0,0,0,0,0,330,41,19.99980392,9403.131602,11262.54678
F02,23,Seq1,Seq1_23DPH_F02,750,3751,225040,5.000888889,2965,5978,481,0,0,48,20.4,89,8.080340909,,,,,0,0,3,0,0,34,3,2,1,0,5497,39,0,5.001777778,225080,TRUE,1.238095238,1.220850601,4,225080,21-26,400,2,1,2,2,0,0,0,0,2,89,41,19.99822222,5271.302232,4811.348328
F02,25,Seq1,Seq1_25DPH_F02,750,3751,225040,5.000888889,1569,2172,153,0,0,36,20.7,81,8.080340909,,,,,0,0,1,0,0,17,1,0,0,0,2019,18,0,5.001777778,225080,TRUE,0.571428571,0.676123404,2,225080,21-26,400,0,0,0,0,0,1,0,1,1,57,41,19.9868,2591.62354,2769.457719
F02,26,Seq1,Seq1_26DPH_F02,750,3751,225040,5.000888889,944,1281,113,0,0,63.7,20.6,80,8.080340909,,,,,0,4,0,0,0,6,5,5,1,0,1168,14,0,5.001777778,225080,TRUE,0.238095238,0.538958431,2,225080,21-26,400,2,2,2,2,0,0,1,1,3,31,41,22.22048889,1654.560816,2301.850467
F02,30,Seq1,Seq1_30DPH_F02,749,3746,224740,5.000890076,1123,1453,87,0,0,110.6,22,75,8.080340909,,,,,15,0,0,0,0,3,17,1,0,0,1366,20,0,5.001780151,224780,TRUE,0.476190476,0.92838826,4,224780,27-30,400,1,0,1,1,0,0,0,0,1,61,41,5.592523364,3662.078532,2514.628242
F03,16,Seq1,Seq1_16DPH_F03,750,3751,225040,5.000888889,407,443,15,0,261,6.3,19.7,91.85294118,7.98,,,,,0,0,0,0,0,1,0,0,0,0,428,1,0,5.001777778,225080,TRUE,0.142857143,0.358568583,1,225080,Dec-20,400,0,0,0,0,0,0,0,0,0,6,81,20.31513333,1039.837065,2358.577021
F03,20,Seq1,Seq1_20DPH_F03,750,3751,225040,5.000888889,1648,2334,121,0,230,20.8,20.7,91.85294118,8.04,,,,,0,0,0,0,0,9,0,0,0,0,2213,9,0,5.001777778,225080,TRUE,0.476190476,0.813575296,3,225080,Dec-20,400,0,0,0,0,0,0,0,0,0,20,81,20.02042222,3026.671356,4637.60709
F05,24,Seq1,Seq1_24DPH_F05,630,3151,189040,5.001058201,1976,6102,538,0,0,67.2,21.1,83,8,21.1,,,,2,0,0,0,0,63,2,0,0,2,5564,67,0.029850746,5.002116402,189080,TRUE,1.952380952,2.710649193,12,189080,21-26,400,0,0,0,0,0,0,0,0,0,73,41,17.31380952,4121.655118,4864.718954
F06,7,Seq1,Seq1_07DPH_F06,500,2501,150040,5.001333333,1978,5671,640,0,209,0,20.2,91,8.22,20,0.011278638,0.005629374,0.012605444,1,0,2,0,0,192,5,0,0,0,5031,197,0,5.002666667,150080,TRUE,2.19047619,2.112322126,9,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,203,61,30.1857,4161.217571,6152.597419
F06,8,Seq1,Seq1_08DPH_F06,500,2501,150040,5.001333333,2056,7453,914,0,288,0,20.1,92,8.15,20.1,0.010735202,0.005529297,0.012075489,0,0,2,0,0,127,9,1,1,0,6539,138,0,5.002666667,150080,TRUE,2.523809524,2.182178902,8,150080,06-Nov,400,0,0,0,0,1,0,0,1,1,163,61,30.041,4693.852544,7471.031519
