"","group","time","mean_rate","lower_ci","upper_ci","percent_mean_upper","percent_mean_lower","mean_percent_mean","cutoff_mean","cutoff_upper","cutoff_lower","y_for_percent"
"1","08-14",10,3.92730325547285,-9.92297509516499,6.62804136913613,0.687682599987588,1.52666383257696,1.10717321628227,493,493,493,0
"2","08-14",13,3.55446142579405,-11.0420338575692,6.62804136913613,0.864710451219892,2.10652797564189,1.48561921343089,493,493,493,0.00457317073170732
"3","08-14",16,3.75913211542234,-11.0463588865613,6.62804137560396,0.763183940359941,1.93853968080614,1.35086181058304,493,493,493,0.00914634146341463
"4","08-14",19,4.1172120994293,-9.85725902020395,6.78601483645301,0.648206279534066,1.39415866420151,1.02118247186779,493,493,493,0.013719512195122
"5","08-14",22,3.45534916825814,-10.9842004055132,6.6280414110763,0.918197290150428,2.17889737639754,1.54854733327398,493,493,493,0.0182926829268293
"6","08-14",25,2.95895321044594,-11.2267031588003,7.02828935583546,1.37526207951637,2.79414690275159,2.08470449113398,493,493,493,0.0228658536585366
"7","08-14",28,3.01979414172762,-11.0416446860464,6.62804136913616,1.1948652981174,2.65642297714024,1.92564413762882,493,493,493,0.0274390243902439
"8","08-14",31,3.3738781262465,-10.7194410896767,6.62804138944901,0.964517134714294,2.17718681249529,1.57085197360479,493,493,493,0.0320121951219512
"9","08-14",34,3.21771056854671,-11.1977170574447,6.7066988733972,1.08430768725924,2.48002619219485,1.78216693972704,493,493,493,0.0365853658536585
"10","08-14",37,3.50964386281735,-10.6625375108581,7.06258489453525,1.01233662747359,2.03806822789673,1.52520242768516,493,493,493,0.0411585365853658
"11","08-14",40,2.51608297075073,-11.4678439349037,6.62804171072765,1.63426992979887,3.55781628357112,2.59604310668499,493,493,493,0.0457317073170732
"12","08-14",43,2.23063227756463,-11.6199777609649,6.62804131370183,1.97137335470561,4.20927536010167,3.09032435740364,493,493,493,0.0503048780487805
"13","08-14",46,2.57247066785476,-11.5285814077144,6.74063328916167,1.62029549000954,3.48152103414586,2.5509082620777,493,493,493,0.0548780487804878
"14","08-14",49,2.61961666788516,-11.2210744456474,6.71046750496871,1.56162193012237,3.283479557605,2.42255074386369,493,493,493,0.0594512195121951
"15","08-14",52,2.14879191546736,-11.7679633916619,6.63199743402604,2.08638420792996,4.47654861643612,3.28146641218304,493,493,493,0.0640243902439024
"16","08-14",55,2.49606083235499,-11.3538762307652,7.01554643306421,1.8106472174579,3.548717757032,2.67968248724495,493,493,493,0.0685975609756097
"17","08-14",58,1.90849064546166,-11.6057891184252,6.17782725078866,2.2370225473619,5.08113492514279,3.65907873625235,493,493,493,0.0731707317073171
"18","08-14",61,2.33890440933596,-11.599075517586,6.73838157625694,1.88099913333783,3.95919177854689,2.92009545594236,493,493,493,0.0777439024390244
"19","08-14",64,2.57052890498453,-11.602440597509,6.62804137764072,1.57847377821282,3.51363942066968,2.54605659944125,493,493,493,0.0823170731707317
"20","08-14",67,1.30624414790123,-12.1160340878393,6.74028879604878,4.16005281775121,8.27547434934454,6.21776358354788,493,493,493,0.086890243902439
"21","08-14",70,2.11209846660373,-11.6242118918458,6.62804134482449,2.13813084457299,4.50363161360444,3.32088122908872,493,493,493,0.0914634146341463
"22","08-14",73,2.23890175120109,-11.1963925929809,6.45483589797058,1.88303669176541,4.00084141118492,2.94193905147517,493,493,493,0.0960365853658536
"23","08-14",76,2.53955642517605,-11.4237608804362,6.63545740738523,1.61284110154207,3.49832922284617,2.55558516219412,493,493,493,0.100609756097561
"24","08-14",79,2.9148556483299,-11.5652756469698,6.67664951664101,1.29055923248428,2.96770099184712,2.1291301121657,493,493,493,0.105182926829268
"25","08-14",82,2.50796677187529,-11.244272296638,6.69249745593883,1.66849526516439,3.48342155993968,2.57595841255203,493,493,493,0.109756097560976
"26","08-14",85,1.92130867519055,-11.7733282188941,6.62889249147409,2.45019651296618,5.12776508580874,3.78898079938746,493,493,493,0.114329268292683
"27","08-14",88,0.921978728358876,-11.4811861291079,6.63641181279956,6.19800968142984,11.4527668328579,8.82538825714386,493,493,493,0.11890243902439
"28","08-14",91,2.07036916550412,-11.4682731327015,6.67687611535555,2.22496887347614,4.539240693777,3.38210478362657,493,493,493,0.123475609756098
"29","08-14",94,1.43922147780184,-11.3202109661948,6.72592059831088,3.67330477070393,6.86551002802184,5.26940739936289,493,493,493,0.128048780487805
"30","08-14",97,1.98868265953823,-11.7253243065023,6.42995180274965,2.23327192094222,4.89602581903383,3.56464886998803,493,493,493,0.132621951219512
"31","08-14",100,1.84790346019591,-11.1876480737825,6.15908334220492,2.33301142341707,5.05423839219197,3.69362490780452,493,493,493,0.13719512195122
"32","08-14",103,1.86073873664128,-11.2388524097376,6.25906359442352,2.36375197182246,5.03999486248363,3.70187341715304,493,493,493,0.141768292682927
"33","08-14",106,1.55018676432871,-11.375042216366,6.28128468822579,3.05195350183874,6.3378527530467,4.69490312744272,493,493,493,0.146341463414634
"34","08-14",109,1.61598079016145,-11.6961418191011,6.20803645325865,2.84165238290885,6.23779755942062,4.53972497116474,493,493,493,0.150914634146341
"35","08-14",112,1.95641230948506,-11.602348525546,6.24142567174714,2.19024044240957,4.93042093902987,3.56033069071972,493,493,493,0.155487804878049
"36","08-14",115,1.44680225933226,-11.4013164564467,6.3040048543713,3.35719865220612,6.88035571751782,5.11877718486197,493,493,493,0.160060975609756
"37","08-14",118,2.5349846877498,-11.2248740425321,6.45027785023563,1.54450367349606,3.42798494869645,2.48624431109625,493,493,493,0.164634146341463
"38","08-14",121,1.12178657760547,-11.6354204610602,6.20015759097089,4.52703848909081,9.37222292844398,6.94963070876739,493,493,493,0.169207317073171
"39","08-14",124,2.31529645228499,-11.1669564340559,6.39752923911314,1.76315770829233,3.8231216451937,2.79313967674302,493,493,493,0.173780487804878
"40","08-14",127,3.13195242239184,-11.3354023732118,6.15910927492181,0.966539858935071,2.61927668254777,1.79290827074142,493,493,493,0.178353658536585
"41","08-14",130,1.71253784127507,-11.0794681330579,6.21314295697811,2.62803250662894,5.46961945366924,4.04882598014909,493,493,493,0.182926829268293
"42","08-14",133,2.5640118607017,-11.0270993541621,6.33162492945014,1.46942107659258,3.30072088322722,2.3850709799099,493,493,493,0.1875
"43","08-14",136,1.52479046247404,-11.9611653092423,6.01353665760384,2.94384461708046,6.84446493050253,4.89415477379149,493,493,493,0.192073170731707
"44","08-14",139,1.28454669717576,-11.1961480505641,6.26833545702518,3.87980349083994,7.71603039047177,5.79791694065585,493,493,493,0.196646341463415
"45","08-14",142,2.33347772507593,-11.0977271629433,5.67579885111191,1.43233470374234,3.7558744802598,2.59410459200107,493,493,493,0.201219512195122
"46","08-14",145,1.91082815511724,-11.1389339660123,5.68344073469974,1.97433378270011,4.82937504672097,3.40185441471054,493,493,493,0.205792682926829
"47","08-14",148,2.49891905622008,-11.5812401086204,6.22228115639341,1.48998907783967,3.63449989698282,2.56224448741125,493,493,493,0.210365853658537
"48","08-14",151,2.63379391255086,-10.6644296218033,5.92087665678295,1.24804098322504,3.04907520325865,2.14855809324184,493,493,493,0.214939024390244
"49","08-14",154,2.06023085881086,-11.1181716576262,6.03312679924254,1.92837415449877,4.3965659285598,3.16247004152929,493,493,493,0.219512195121951
"50","08-14",157,1.40528115162483,-11.5850522248871,5.98204347397924,3.25683036242436,7.24393909467303,5.2503847285487,493,493,493,0.224085365853659
"51","08-14",160,1.96097334342994,-10.8225665956117,5.6732676290795,1.89308758229033,4.51897690596955,3.20603224412994,493,493,493,0.228658536585366
"52","08-14",163,2.30232597705335,-11.1161796760743,5.97933542698017,1.59708463813316,3.82823882754494,2.71266173283905,493,493,493,0.233231707317073
"53","08-14",166,2.08976914794698,-11.6047756450985,6.11767662337409,1.92744135369411,4.55313760684965,3.24028948027188,493,493,493,0.23780487804878
"54","08-14",169,2.20561837722836,-11.5761925581017,5.67331526525276,1.57221073410805,4.24850204261023,2.91035638835914,493,493,493,0.242378048780488
"55","08-14",172,2.92538135002051,-11.2605510110077,5.67332433839125,0.939345220188633,2.84925917809956,1.8943021991441,493,493,493,0.246951219512195
"56","08-14",175,2.89308263602139,-10.5945274447643,6.098115215612,1.10782614353464,2.66202033528294,1.88492323940879,493,493,493,0.251524390243902
"57","08-14",178,3.13459323379494,-11.3761385126684,5.9845484090954,0.90919457892472,2.6292232082999,1.76920889361231,493,493,493,0.25609756097561
